              Blog1     Blog2     Blog3     Blog4     Blog5     count
amazon     0.115914  0.082148  0.229742  0.068838  0.058209  0.554851
ruby       0.000000  0.000000  0.000000  0.000000  0.477772  0.477772
translate  0.475934  0.000000  0.000000  0.000000  0.000000  0.475934
reserved   0.000000  0.000000  0.000000  0.461277  0.000000  0.461277
comment    0.000000  0.422327  0.000000  0.000000  0.000000  0.422327
instance   0.014129  0.000000  0.168024  0.226554  0.000000  0.408707
p3dn       0.000000  0.000000  0.387829  0.000000  0.000000  0.387829
aws        0.090865  0.000000  0.054028  0.016189  0.209895  0.370976
sagemaker  0.000000  0.000000  0.338297  0.000000  0.000000  0.338297
gbit       0.000000  0.000000  0.316955  0.000000  0.000000  0.316955
