Website,Title,word_count
AWS,Amazon Translate now supports Office documents,4635
AWS,Is This You?,237
AWS,Now available in Amazon SageMaker: EC2 P3dn GPU Instances,2769
AWS,Additional Reserved Instance Options for Amazon RDS,1921
AWS,Introducing the AWS SDK for Ruby,4269
AWS,Force.com for Amazon Web Services,1962
AWS,Get Ready for AWS re:Invent 2017,1118
AWS,2008 AWS Start-Up Challenge Finalists,2639
AWS,New – Trigger a Kernel Panic to Diagnose Unresponsive EC2 Instances,5306
AWS,"Amazon DynamoDB Update – JSON, Expanded Free Tier, Flexible Scaling, Larger Items",7177
AWS,Resources for Migrating Parse Applications to AWS,824
AWS,"Now Available: R5, R5d, and z1d Instances",2095
AWS,The New AWS Security Blog,684
AWS,TCO Comparison: Amazon WorkSpaces and Traditional Virtual Desktop Infrastructure (VDI),4778
AWS,How The Healthcare of Tomorrow is Being Delivered Today,10661
AWS,AWS Management Console Now Supports Amazon S3,1067
AWS,New SQS Client Library for Java Messaging Service (JMS),1475
AWS,RSS Talker: RSS-Powered Price Watching for Amazon Products,836
AWS,AWS Blog Usability Panel (Seattle or Remote),466
AWS,AWS Shield Advanced Update – Automatic Application Layer DDoS Mitigation,5253
AWS,"A New, Simplified, Bring-Your-Own-License Experience for Microsoft Windows Server and SQL Server",8364
AWS,S3 Intelligent-Tiering Adds Archive Access Tiers,5256
AWS,Migrating from ECS 3.0 to 4.0,254
AWS,New – Registry of Open Data on AWS (RODA),1631
AWS,Vertica / Sonian / Amazon Webinar,757
AWS,Amazon SageMaker Debugger – Debug Your Machine Learning Models,6793
AWS,"EC2 Instance Type Update – T2, R4, F1, Elastic GPUs, I3, C5",4752
AWS,Amazon CloudFront & Route 53 Expand to India,1342
AWS,"Amazon Simple Queue Service: Batch Operations, Delay Queue, and Message Timers",1985
AWS,New Strategy Recommendations Service Helps Streamline AWS Cloud Migration and Modernization,13355
AWS,Linden Lab: Amazon S3 For The Win,3740
AWS,New – Additional Checksum Algorithms for Amazon S3,4065
AWS,New AWS Public Data Set – 3000 Rice Genome,4261
AWS,Podcast 293: Diving into Data with Amazon Athena,832
AWS,Amazon S3 Bucket Policies – Another Way to Protect Your Content,5428
AWS,IBM Mashup Center Webcast,272
AWS,In the Works – AWS Region in South Africa,2923
AWS,"Amazon EC2, MySQL, Amazon S3",2075
AWS,The AWS Report – Michelle Munson of Aspera,147
AWS,Redundant Disk Storage Across Multiple EC2,890
AWS,Sneak Preview – DynamoDB Streams,3770
AWS,"Amazon S3 – Enterprise Grade, Internet Scale, and Ready for Big Data",5157
AWS,"I’ll Take Potpourri for 300, Please",185
AWS,East Coast US AWS Events – April 2010,183
AWS,Amazon VPC Routing Enhancements Allow You to Inspect Traffic Between Subnets In a VPC,6722
AWS,System Center Virtual Machine Manager Add-In Update – Import & Launch Instances,1394
AWS,Run Oracle Applications on Amazon EC2,1637
AWS,"Now Available – Five New Amazon EC2 Bare Metal Instances: M5, M5d, R5, R5d, and z1d",3423
AWS,Top Announcements of AWS re:Invent 2021,15621
AWS,Opening Soon – AWS Office in Dubai to Support Cloud Growth in UAE,4566
AWS,Amazon Aurora Update – Create Cluster from MySQL Backup,1663
AWS,Amazon RDS Now Available on the West Coast,445
AWS,AWS Direct Connect Update – Ten New Locations Added in Late 2017,1231
AWS,Amazon S3 Update: New Storage Class and General Availability of S3 Select,3125
AWS,Second Life Developer Chat Schedule for February 2008,814
AWS,New Whitepaper: Architecting for the Cloud: Best Practices,1573
AWS,"AWS Week in Review – April 7, 2014",165
AWS,Beta Testers Wanted for Amazon S3 Manager,148
AWS,New – Advanced Request Routing for AWS Application Load Balancers,3976
AWS,In the Works – AWS Region in Canada,3141
AWS,Announcing General Availability of Amazon Connect Cases,2890
AWS,AWS Marketplace – Support for Windows Applications (ISVs Wanted),3030
AWS,Amazon EBS (Elastic Block Store) – Bring Us Your Data,2838
AWS,New: Server-Side Encryption for Amazon Kinesis Streams,5767
AWS,Infographic – Top 5 Findings: Global Knowledge’s IT Skills and Salary Report,2003
AWS,New – Redis 6 Compatibility for Amazon ElastiCache,4187
AWS,AWS Direct Connect – Now Available in Four Additional Locations,846
AWS,New – UDP Load Balancing for Network Load Balancer,4267
AWS,Amplify Console – Hosting for Fullstack Serverless Web Apps,5097
AWS,AWS Trusted Advisor Update – CloudFront Content Delivery Optimization,1214
AWS,CloudFront + Strangeloop = Greatly Reduced Page Load Time for Outrigger.com,4623
AWS,New Elastic MapReduce Locations (Singapore and Tokyo) and Features,2784
AWS,How We Sent an AWS Snowcone into Orbit,5821
AWS,Amazon Rekognition Update – Celebrity Recognition,1357
AWS,XMLStarlet – Process XML at the Command Line,578
AWS,AWS Events for February 2011,139
AWS,"AWS Week in Review – September 10, 2012",107
AWS,EC2 Run Command is Now a CloudWatch Events Target,3309
AWS,The AWS Report – Episode 2 – Saad Ladki of the Elastic Beanstalk Team,607
AWS,Amazon SimpleDB Consistency Enhancements,2501
AWS,New AWS SDKs for Mobile Development (Android and iOS),1410
AWS,Search and Interact With Your Streaming Data Using the Kinesis Connector to Elasticsearch,3733
AWS,Announcing Amazon Managed Service for Grafana (in Preview),4449
AWS,"Announcing the AWS Chatbot Challenge – Create Conversational, Intelligent Chatbots using Amazon Lex and AWS Lambda",4821
AWS,Amazon S3 – Object Size Limit Now 5 TB,1643
AWS,New – AWS Certificate Manager – Deploy SSL/TLS-Based Apps on AWS,4486
AWS,New Hands-On Course for Business Analysts – Practical Decision Making using No-Code ML on AWS,7611
AWS,Blender — Amazon Ads in an RSS Feed,789
AWS,Is it on AWS? Domain Identification Using AWS Lambda,6993
AWS,Perl and EC2,348
AWS,Inbox Cleanup,38
AWS,Operational Insights for Containers and Containerized Applications,4221
AWS,Improving Containers by Listening to Customers,4030
AWS,CloudFormation + Amazon VPC + XenApp = Secure Cost-effective Application Delivery Within Minutes,1204
AWS,Peek Inside an Amazon Distribution Center,364
AWS,Amazon Flexible Payments Support Sees Community Support,852
AWS,Links Galore,154
AWS,Computer Vision at the Edge with AWS Panorama,11232
AWS,New – AWS Management Console Support for the Simple Email Service,1506
AWS,New – Amazon Cognito Groups and Fine-Grained Role-Based Access Control,9789
AWS,It Takes More Than a Volcano to Stop an AWS Event,519
AWS,Wishlist Buddy,823
AWS,Announcing AWS $NAME,2035
AWS,New – Building a Continuous Integration Workflow with Step Functions and AWS CodeBuild,5516
AWS,CloudWatch Monitoring Scripts Updated,564
AWS,Coming Soon – AWS SDK for Go,1795
AWS,Amazon Mechanical Turk in Action; Net:Work Conference Discount,1265
AWS,"AWS Week in Review – August 1, 2022",7380
AWS,AWS Blog Updates Via Email,577
AWS,Content Delivery Service Flying High,2155
AWS,Explore Your DynamoDB Tables Using the AWS Management Console,1018
AWS,New – Machine Learning Inference at the Edge Using AWS Greengrass,4207
AWS,New Features for Amazon SNS – Delivery Policies and Message Formatting,2072
AWS,Amazon Simple Queue Service Released,1261
AWS,"Amazon Kinesis Update – Amazon Elasticsearch Service Integration, Shard-Level Metrics, Time-Based Iterators",5320
AWS,Amazon Kinesis- Setting up a Streaming Data Pipeline,6914
AWS,AWS IoT – Now Generally Available,2687
AWS,Alert Logic Cloud Insight – Product Tour,3021
AWS,Our Most Fulfilling Web Service Yet,1676
AWS,Windows Wednesday – AWS Tools for Windows PowerShell,1189
AWS,Announcing AWS Glue DataBrew – A Visual Data Preparation Tool That Helps You Clean and Normalize Data Faster,9433
AWS,Launch AWS Marketplace Software into VPCs With 1-Click,2498
AWS,"The AWS Report – Colin Lazier, Amazon Glacier",488
AWS,Amazon at CES 2020 – Connectivity & Mobility,4387
AWS,AWS Quick Start Reference Deployment – Exchange Server 2013,1786
AWS,Amazon S3 Plugs Into a Road Trip,713
AWS,Build Enterprise Mobile Apps with AWS Mobile Hub – New User Management and SaaS Integration,4051
AWS,VM Import / Export for Linux,2664
AWS,Introducing Cost Allocation Tags for Amazon SQS,1763
AWS,EMR 4.3.0 – New & Updated Applications + Command Line Export,2837
AWS,"New SDKs, Code Samples, & Docs for Login and Pay with Amazon",2375
AWS,In The Works – AWS Canada West (Calgary) Region,5010
AWS,Custom Error Pages and Responses for Amazon CloudFront,1835
AWS,New – Apache Spark on Amazon EMR,7917
AWS,AWS Lambda Now Supports Up to 10 GB Ephemeral Storage,4578
AWS,"AWS Local Zones Are Now Open in Boston, Miami, and Houston",5958
AWS,New – Data Parallelism Library in Amazon SageMaker Simplifies Training on Large Datasets,7260
AWS,CNET: From Web Page to Web Platform,205
AWS,AWS Training Now Available,785
AWS,"AWS Week in Review – July 6, 2015",367
AWS,Amazon Prime Search,670
AWS,Introducing: VC Judges for AWS Startup Challenge,4062
AWS,AWS GovCloud (US) Update – AWS Key Management Service Now Available,1595
AWS,Powered by AWS Logos,386
AWS,"Precious – Ruby, Gems and AWS",1767
AWS,New Metrics for EC2 Container Service: Clusters & Services,2984
AWS,Run Amazon Elastic MapReduce on EC2 Spot Instances,5655
AWS,AWS and the REST of the Web,2525
AWS,Next Generation Cluster Computing on Amazon EC2 – The CC2 Instance Type,4834
AWS,Attach and Detach Elastic Load Balancers from Auto Scaling Groups,2268
AWS,Sweet Treats for DynamoDB Users,2509
AWS,Vodafone DreamLab – Accelerating Cancer Research,6530
AWS,Amazon Redshift – Now Faster and More Cost-Effective than Ever,3196
AWS,AWS DeepLens Now Shipping – Order One Today!,4089
AWS,CloudFormation Update – CLI + Third-Party Resource Support + Registry,6275
AWS,AWS Events for October 2011,96
AWS,AWS on the Road – September and October 2005,601
AWS,Yemeksepeti: Our Shift to Serverless Architecture,8023
AWS,TKLBAM – Turnkey Linux Backup and Migration,1203
AWS,A New Generation of EC2 Instances for Compute-Intensive Workloads,3052
AWS,Amazon S3 Update – SigV2 Deprecation Period Extended & Modified,4923
AWS,Amazon SageMaker Adds Batch Transform Feature and Pipe Input Mode for TensorFlow Containers,4886
AWS,Now Open AWS Canada (Central) Region,6454
AWS,AWS Named as a Leader in Gartner’s Magic Quadrant for Cloud AI Developer Services,3628
AWS,"In the Works – AWS Region in Melbourne, Australia",4165
AWS,Executive Briefing on Cloud Computing,644
AWS,Relational Database Service – Now With Event Subscriptions,1577
AWS,Cloud-powered Software Development LifeCycle – Innovative Social Gaming and LBS Platform in the AWS Cloud – TAPTIN,6338
AWS,Croon My Tune – Create A Singing Greeting Using Mechanical Turk,1119
AWS,Introducing Gluon: a new library for machine learning from AWS and Microsoft,4130
AWS,New – Amazon Simple Email Service (SES) for VPC Endpoints,3423
AWS,Now Available – SUSE SLES 12 AMIs for Amazon EC2,1107
AWS,Real-Time Ad Impression Bids Using DynamoDB,4927
AWS,"Kindle: more than an e-book reader, it’s a development platform",1790
AWS,AWS Achieves PCI DSS 2.0 Validated Service Provider Status,3365
AWS,AWS Managed Services – Infrastructure Operations Management for the Enterprise,8171
AWS,Now Available – AWS Marketplace in the Frankfurt Region,1710
AWS,UC Berkeley Stardust @ Home,1195
AWS,US Veterans Now Eligible For AWS Certification Exam Reimbursement,1390
AWS,Learn AWS With New Self-Paced Labs,1526
AWS,AWS Named as a Leader in Gartner’s Infrastructure as a Service (IaaS) Magic Quadrant for 7th Consecutive Year,832
AWS,Amazon EC2 Spot Instance Bid Status,2730
AWS,"New for Amazon CodeGuru – Python Support, Security Detectors, and Memory Profiling",6056
AWS,"AWS Week in Review – May 25, 2015",287
AWS,Help Wanted,369
AWS,New for AWS Distro for OpenTelemetry – Tracing Support is Now Generally Available,7429
AWS,New AWS Quick Starts – Trend Micro Deep Security and Microsoft Lync Server,1507
AWS,AWS OpsWorks for Windows,2988
AWS,CloudWatch Update – Enhanced Support for Windows Log Files,1015
AWS,Lower Pricing for Amazon EC2 Reserved Instances,748
AWS,"AWS Week in Review – October 26, 2015",292
AWS,rPath Webinar – The Pragmatist’s Guide to Cloud Computing,557
AWS,Enomalism Virtual Management Dashboard,841
AWS,Software Package Management with AWS CodeArtifact,8178
AWS,"Amazon QuickSight Update – Geospatial Visualization, Private VPC Access, and More",5361
AWS,Remembering AWS Evangelist Mike Culver,4138
AWS,New T2.Xlarge and T2.2Xlarge Instances,1374
AWS,"AWS Management Portal for vCenter Update – Auto Upgrades, Log Upload, Queued Imports",1267
AWS,"AWS Week in Review – November 19, 2012",164
AWS,Updates to the Mechanical Turk API,441
AWS,"AWS Week in Review – November 7, 2016",440
AWS,AWS Cloud Builders – Career Transformation & Personal Growth,942
AWS,AWS Trusted Advisor Update – New and Updated Checks,1329
AWS,Optimizing Provisioned Throughput in Amazon DynamoDB,7407
AWS,New Prep Class for the AWS Certified Solutions Architect – Professional Exam,934
AWS,AWS 포탈 – 한국어 컨텐츠 추가,48
AWS,New for AWS CloudFormation – Quickly Retry Stack Operations from the Point of Failure,9663
AWS,Cloudbursting – Hybrid Application Hosting,3020
AWS,Transaction Library for DynamoDB,6136
AWS,S3 Select and Glacier Select – Retrieving Subsets of Objects,4220
AWS,Identity and Access Management in the AWS Management Console,1960
AWS,New – Descriptions for Security Group Rules,2425
AWS,EC2 Cluster Compute Instances now Available in US West (Oregon),3991
AWS,AWS OpsWorks in the Virtual Private Cloud,4652
AWS,What’s the Difference Between Amazon FPS and Amazon DevPay?,1586
AWS,New – Access Resources in a VPC from Your Lambda Functions,2318
AWS,Build Mobile Applications with the Sybase Unwired Platform,738
AWS,Amaztype,250
AWS,ZapThink SOA Roadmap Poster,245
AWS,AWS Elastic Beanstalk – Simplified Command Line Access with EB,5661
AWS,Introducing Amazon S3 Storage Lens – Organization-wide Visibility Into Object Storage,7756
AWS,Arduino Web Editor and Cloud Platform – Powered by AWS,2860
AWS,New AWS SDK for .NET Developers,565
AWS,New – Next-Generation GPU-Powered EC2 Instances (G3),2110
AWS,Amazon ElastiCache – Four New Cache Node Types,735
AWS,Developer Preview of Version 3 of AWS SDK for PHP,865
